evaluation,model,accuracy,macro_f1
Within PlantDoc,CNN,0.2604166666666667,0.2332667650173371
Within PlantDoc,SVM,0.3125,0.30220168191524177
Within PlantVillage,CNN,0.6458333333333334,0.635193146304541
Within PlantVillage,SVM,0.5520833333333334,0.5553788401614488
PlantVillage to PlantDoc,SVM,0.13541666666666666,0.08173076923076923
PlantVillage to PlantDoc,CNN,0.1875,0.14570618501637944
